都市ID,都市名
1850630,"Tanuma"
1850627,"Tanushimarumachi-toyoki"
1850617,"Taragi"
1850600,"Tarui"
1850589,"Tarumizu"
1850559,"Tatebayashi"
2110812,"Tateishi"
2110809,"Tateno"
1850523,"Tateyama"
1850498,"Tatsuno"
1850499,"Tatsunochō-tominaga"
1850472,"Tawaramoto"
2110793,"Tendō"
1850420,"Tenjimmae"
1850418,"Tenjin"
1850405,"Tennō"
1850396,"Tenri"
1861036,"Terauchi"
2127822,"Teshikaga"
2127820,"Teshio"
1850345,"Toba"
1850310,"Tochigi"
1850311,"Tochigi"
1850307,"Tochio-honchō"
1850302,"Todaka"
1850269,"Togitsu"
1850213,"Tokashiki"
1850207,"Toki"
1850185,"Tokoname"
2127746,"Tokorochō-higashihama"
2129349,"Tokorochō-kyōritsu"
1850181,"Tokorozawa"
1850177,"Tokuda"
1850158,"Tokushima"
1850157,"Tokushima-ken"
1850152,"Tokuyama"
1850147,"Tokyo"
1850144,"Tokyo Prefecture"
2127733,"Tomakomai"
2127731,"Tomamae"
1850108,"Tomigusuku"
1850091,"Tomioka"
2127712,"Tomioka"
2110744,"Tomiya"
2110743,"Tomobe"
1850040,"Tonami"
1850034,"Tondabayashichō"
1850004,"Tonoshō"
2110729,"Toride"
1849977,"Toriimatsu"
1849904,"Tosu"
1849897,"Totsuka chō"
1849890,"Tottori"
1849892,"Tottori"
1849876,"Toyama"
1849872,"Toyama-ken"
1849850,"Toyohama"
1849846,"Toyohashi"
2127660,"Toyohira-ku"
1849845,"Toyokawa"
2127652,"Toyokoro"
1849837,"Toyonaka"
1849831,"Toyooka"
1849817,"Toyoshina"
1849814,"Toyota"
1849809,"Toyota-shi"
1849798,"Tozawa"
1849796,"Tsu"
1849788,"Tsubame"
1849782,"Tsubata"
1849771,"Tsubota"
6822099,"Tsuchiura"
1849729,"Tsuiki"
1926027,"Tsuitachi"
1849713,"Tsukaguchichō"
1849708,"Tsukasamachi"
1849706,"Tsukawaki"
2127626,"Tsukigata"
2110681,"Tsukuba"
2110683,"Tsukuba"
1849661,"Tsukumiura"
1849647,"Tsuma"
6418686,"Tsumuura"
1849633,"Tsunagi"
1849621,"Tsunō"
1849592,"Tsuruga"
1849588,"Tsurugasaki"
1849584,"Tsurugi-asahimachi"
1849563,"Tsuruoka"
1849561,"Tsurusaki"
1849539,"Tsushima"
1926024,"Tsutsui"
1849519,"Tsuyama"
2127802,"Tōbetsu"
1850314,"Tōbō"
2110774,"Tōgane"
1850233,"Tōji"
1850223,"Tōkaichi"
1850217,"Tōkamachi"
2110735,"Tōno"
1849498,"Ube"
2110661,"Uchigō-tsuzuramachi"
2110657,"Uchimaru"
1849429,"Ueda"
1849423,"Ueki"
1849424,"Uekimachi-mōno"
1849410,"Ueno"
1849414,"Ueno-ebisumachi"
1849407,"Uenohara"
1849372,"Uji"
1849367,"Ujiie"
1849347,"Uken"
1849344,"Uki"
1852676,"Umegaoka"
1849299,"Umi"
1849274,"Uno"
1849237,"Uozu"
2127586,"Urakawa"
1849186,"Urayasu"
1894619,"Urazoe"
1849183,"Ureshinomachi-shimojuku"
2127574,"Uryū"
1849168,"Usa"
1849154,"Ushibukamachi"
2110629,"Ushiku"
1849094,"Usuki"
2127545,"Utashinai"
1849073,"Utazu"
1849069,"Uto"
1849053,"Utsunomiya"
1926020,"Uwajima"
2110617,"Uwamachi"
2110608,"Wada"
1848991,"Wadayama"
1848988,"Wadomari"
1848976,"Wajima"
1848949,"Wakasa"
1848938,"Wakayama"
1926004,"Wakayama"
1848935,"Wake"
1848933,"Wakimachi"
1848919,"Wakinohamachō"
2127515,"Wakkanai"
1907300,"Wako"
2110596,"Wakuya"
1848906,"Wano"
1848903,"Warabi"
1848899,"Warabo"
2127500,"Wassamu"
2110586,"Watari"
2110584,"Yabasehonchō"
1848852,"Yabu"
1848848,"Yabuhana"
2110583,"Yabuki"
1848841,"Yabutani"
2110579,"Yachimata"
1848776,"Yaita"
1848774,"Yaizu"
1848764,"Yakage"
1898186,"Yakataishi"
1848739,"Yakuin-Horibata"
2127478,"Yakumo"
2110560,"Yamada"
1848706,"Yamae"
1848705,"Yamaga"
2110556,"Yamagata"
2110554,"Yamagata-ken"
1848681,"Yamaguchi"
1848689,"Yamaguchi"
1848667,"Yamakita"
1856566,"Yamakunimachi-morizane"
1848649,"Yamanashi"
2114134,"Yamanobe"
1848612,"Yamata"
1848593,"Yamato-Takada"
1848598,"Yamatominami"
1848633,"Yamazakichō-nakabirose"
1855947,"Yamazakichō-nakai"
2110541,"Yamoto"
1848575,"Yanadachō"
1848573,"Yanagawa"
2110538,"Yanagawamachi-saiwaichō"
1848550,"Yanai"
1848528,"Yanohama"
1848522,"Yao"
1848518,"Yaotsu"
1848499,"Yashio"
1848498,"Yashiro"
1848489,"Yasu-shi"
1848482,"Yasugichō"
1848447,"Yatsuomachi-higashikumisaka"
1848440,"Yatsuzawa"
1848439,"Yawata"
1848409,"Yobimatsu"
2129218,"Yoichi"
1848373,"Yokkaichi"
1848364,"Yokodaidō"
1926016,"Yokogawara"
1848354,"Yokohama"
2127436,"Yokohama"
1848313,"Yokosuka"
1848305,"Yokota"
2110506,"Yokote"
1848281,"Yonabaru"
1848277,"Yonago"
1848266,"Yonakuni"
2110498,"Yonezawa"
1848254,"Yono"
1848243,"Yorii"
1848211,"Yoshida"
1848210,"Yoshida-kasugachō"
1848200,"Yoshie"
1848193,"Yoshii"
1848194,"Yoshii"
1848188,"Yoshikawa"
1848169,"Yoshino-chō"
8198710,"Yoshitomi"
2110480,"Yotsukaidō"
1848382,"Youkaichi"
1848131,"Yuasa"
1848119,"Yugawa"
1848113,"Yugawara"
1848087,"Yukuhashi"
2127398,"Yuni"
1848049,"Yura"
1848028,"Yusuhara"
1848016,"Yuza"
1848015,"Yuzawa"
2110460,"Yuzawa"
2110518,"Yōkaichiba"
2127419,"Yūbari"
1848096,"Yūki"
1848040,"Yūrakuchō"
1848004,"Zama"
1848002,"Zamami"
1847996,"Zaōmachi"
2127386,"Zenikamechō"
1847968,"Zushi"
7303136,"kagoshima"
7533595,"shimochi"
7303469,"tsuruhashi"
2111568,"Ōami"
2111567,"Ōarai"
1854803,"Ōbu"
1854774,"Ōdachō-ōda"
1854762,"Ōdaka"
2128787,"Ōdate"
2111530,"Ōfunato"
1854703,"Ōgaki"
1854642,"Ōgimachiya"
1854588,"Ōhama"
2111495,"Ōhara"
2111488,"Ōhasama"
2111543,"Ōhira"
1854530,"Ōi"
2111471,"Ōishida"
1854492,"Ōiso"
1854487,"Ōita"
1854372,"Ōkagō"
1854405,"Ōkawa"
2111461,"Ōkawara"
1854255,"Ōkubo-naka"
1854246,"Ōkuchi-shinohara"
1854186,"Ōmachi"
2111435,"Ōmagari"
2128690,"Ōmagari"
1854177,"Ōmamachō-ōmama"
1854162,"Ōme"
1863451,"Ōmihachiman"
2111425,"Ōmiya"
1854128,"Ōmiyachō"
1854093,"Ōmura"
1854083,"Ōmuta"
1854028,"Ōno-hara"
6822146,"Ōnojō"
1853904,"Ōsaka-fu"
1853677,"Ōta"
1853662,"Ōtake"
2111325,"Ōtawara"
1854742,"Ōtera"
1853574,"Ōtsu"
2111310,"Ōtsuchi"
1853564,"Ōtsuki"
2111302,"Ōtsukimachi"
1853486,"Ōyama"
1853433,"Ōzu"
1926055,"Ōzu"
7302982,"御影"
7303001,"松山市"
7302983,"芦屋"
